scenario,standard,param_name,param_value,rng_run,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
background,80211ac,nBackground,2,3,3,192.168.1.3:49153,192.168.1.1:9,826,825,0,0,0.0504884,0.0149937
background,80211ac,nBackground,2,3,5,192.168.1.4:49153,192.168.1.1:9,964,964,0,0,0.0502012,0.00929106
background,80211ac,nBackground,2,3,6,192.168.1.2:49153,192.168.1.1:9,939,939,0,0,0.0473186,0.00829488
background,80211ac,nBackground,2,4,2,192.168.1.6:49153,192.168.1.1:9,939,939,0,0,0.0543029,0.0108228
background,80211ac,nBackground,2,4,3,192.168.1.2:49153,192.168.1.1:9,795,795,0,0,0.0484879,0.010381
background,80211ac,nBackground,2,4,4,192.168.1.3:49153,192.168.1.1:9,986,986,0,0,0.0478617,0.00962065
background,80211ac,nBackground,2,4,5,192.168.1.4:49153,192.168.1.1:9,883,883,0,0,0.0476723,0.00868796
background,80211ac,nBackground,2,4,6,192.168.1.5:49153,192.168.1.1:9,865,865,0,0,0.0527535,0.0120783
background,80211ac,nBackground,2,5,2,192.168.1.3:49153,192.168.1.1:9,885,885,0,0,0.0492658,0.0126939
background,80211ac,nBackground,2,5,3,192.168.1.2:49153,192.168.1.1:9,820,820,0,0,0.0467805,0.00733751
background,80211ac,nBackground,2,5,5,192.168.1.4:49153,192.168.1.1:9,817,817,0,0,0.0473885,0.00863054
background,80211ac,nBackground,2,5,6,192.168.1.5:49153,192.168.1.1:9,843,843,0,0,0.0475256,0.0070364
background,80211ac,nBackground,2,5,7,192.168.1.6:49153,192.168.1.1:9,695,695,0,0,0.0468299,0.00765133
background,80211ac,nBackground,2,6,1,192.168.1.3:49153,192.168.1.1:9,994,994,0,0,0.0496824,0.0126358
background,80211ac,nBackground,2,6,3,192.168.1.4:49153,192.168.1.1:9,948,948,0,0,0.048237,0.0104579
background,80211ac,nBackground,2,6,4,192.168.1.2:49153,192.168.1.1:9,740,740,0,0,0.0470439,0.00739902
background,80211ac,nBackground,2,6,5,192.168.1.6:49153,192.168.1.1:9,880,880,0,0,0.0478187,0.00598867
background,80211ac,nBackground,2,6,6,192.168.1.5:49153,192.168.1.1:9,862,862,0,0,0.0507102,0.0140505
background,80211ac,nBackground,2,7,1,192.168.1.3:49153,192.168.1.1:9,920,920,0,0,0.0471916,0.00816067
background,80211ac,nBackground,2,7,2,192.168.1.4:49153,192.168.1.1:9,906,906,0,0,0.052161,0.0137198
background,80211ac,nBackground,2,7,3,192.168.1.2:49153,192.168.1.1:9,922,922,0,0,0.0476459,0.0077522
background,80211ac,nBackground,2,7,4,192.168.1.6:49153,192.168.1.1:9,933,933,0,0,0.0475198,0.00852217
background,80211ac,nBackground,2,7,5,192.168.1.5:49153,192.168.1.1:9,950,950,0,0,0.0515072,0.0104463
background,80211ac,nBackground,2,8,1,192.168.1.2:49153,192.168.1.1:9,882,882,0,0,0.0499592,0.0137303
background,80211ac,nBackground,2,8,2,192.168.1.6:49153,192.168.1.1:9,888,888,0,0,0.0506982,0.0136451
background,80211ac,nBackground,2,8,3,192.168.1.5:49153,192.168.1.1:9,820,820,0,0,0.0496672,0.00806411
background,80211ac,nBackground,2,8,4,192.168.1.4:49153,192.168.1.1:9,861,861,0,0,0.0501947,0.0139615
background,80211ac,nBackground,2,8,5,192.168.1.3:49153,192.168.1.1:9,818,818,0,0,0.0538878,0.0126338
background,80211ac,nBackground,2,9,1,192.168.1.3:49153,192.168.1.1:9,835,835,0,0,0.0492572,0.0101678
background,80211ac,nBackground,2,9,2,192.168.1.6:49153,192.168.1.1:9,1004,1004,0,0,0.0478318,0.00943753
background,80211ac,nBackground,2,9,3,192.168.1.2:49153,192.168.1.1:9,915,915,0,0,0.0460964,0.00586048
background,80211ac,nBackground,2,9,4,192.168.1.5:49153,192.168.1.1:9,895,895,0,0,0.0521997,0.0118685
background,80211ac,nBackground,2,9,6,192.168.1.4:49153,192.168.1.1:9,904,904,0,0,0.0495785,0.0129864
background,80211ac,nBackground,2,10,1,192.168.1.4:49153,192.168.1.1:9,947,947,0,0,0.0484845,0.0107016
background,80211ac,nBackground,2,10,2,192.168.1.2:49153,192.168.1.1:9,883,883,0,0,0.0473046,0.00775379
background,80211ac,nBackground,2,10,3,192.168.1.6:49153,192.168.1.1:9,898,898,0,0,0.0481012,0.00969622
background,80211ac,nBackground,2,10,4,192.168.1.3:49153,192.168.1.1:9,929,929,0,0,0.050016,0.0136481
background,80211ac,nBackground,2,10,5,192.168.1.5:49153,192.168.1.1:9,836,836,0,0,0.0474965,0.00728996
background,80211ac,nBackground,3,1,1,192.168.1.2:49153,192.168.1.1:9,898,898,0,0,0.0529913,0.0143382
background,80211ac,nBackground,3,1,3,192.168.1.4:49153,192.168.1.1:9,970,970,0,0,0.0494306,0.0103349
background,80211ac,nBackground,3,1,4,192.168.1.3:49153,192.168.1.1:9,931,931,0,0,0.0559496,0.0122895
background,80211ac,nBackground,3,1,6,192.168.1.5:49153,192.168.1.1:9,832,832,0,0,0.0493688,0.0113612
background,80211ac,nBackground,3,1,7,192.168.1.6:49153,192.168.1.1:9,713,713,0,0,0.047857,0.00919186
background,80211ac,nBackground,3,2,2,192.168.1.3:49153,192.168.1.1:9,793,793,0,0,0.0525838,0.0186007
background,80211ac,nBackground,3,2,3,192.168.1.2:49153,192.168.1.1:9,735,735,0,0,0.0501504,0.0136834
background,80211ac,nBackground,3,2,4,192.168.1.5:49153,192.168.1.1:9,865,865,0,0,0.0482746,0.00979931
background,80211ac,nBackground,3,2,5,192.168.1.6:49153,192.168.1.1:9,838,838,0,0,0.048618,0.00958563
background,80211ac,nBackground,3,2,6,192.168.1.4:49153,192.168.1.1:9,825,825,0,0,0.0518369,0.0171762
background,80211ac,nBackground,3,3,1,192.168.1.3:49153,192.168.1.1:9,908,908,0,0,0.0562907,0.012588
background,80211ac,nBackground,3,3,2,192.168.1.4:49153,192.168.1.1:9,796,796,0,0,0.0542113,0.0215356
background,80211ac,nBackground,3,3,4,192.168.1.2:49153,192.168.1.1:9,870,870,0,0,0.049436,0.0117617
background,80211ac,nBackground,3,3,5,192.168.1.6:49153,192.168.1.1:9,784,784,0,0,0.0527009,0.0149643
background,80211ac,nBackground,3,3,6,192.168.1.5:49153,192.168.1.1:9,873,873,0,0,0.0492512,0.0112368
background,80211ac,nBackground,3,4,1,192.168.1.4:49153,192.168.1.1:9,976,976,0,0,0.0514302,0.0135011
background,80211ac,nBackground,3,4,2,192.168.1.2:49153,192.168.1.1:9,868,868,0,0,0.0494914,0.0109169
background,80211ac,nBackground,3,4,3,192.168.1.3:49153,192.168.1.1:9,796,796,0,0,0.0488051,0.0113707
background,80211ac,nBackground,3,4,4,192.168.1.5:49153,192.168.1.1:9,863,863,0,0,0.0533733,0.0170527
background,80211ac,nBackground,3,4,7,192.168.1.6:49153,192.168.1.1:9,763,763,0,0,0.0491338,0.011186
background,80211ac,nBackground,3,5,2,192.168.1.4:49153,192.168.1.1:9,776,776,0,0,0.0476723,0.00896278
background,80211ac,nBackground,3,5,3,192.168.1.2:49153,192.168.1.1:9,744,744,0,0,0.0482566,0.0103594
background,80211ac,nBackground,3,5,5,192.168.1.5:49153,192.168.1.1:9,868,868,0,0,0.0488895,0.0111734
background,80211ac,nBackground,3,5,6,192.168.1.6:49153,192.168.1.1:9,829,829,0,0,0.050105,0.011578
background,80211ac,nBackground,3,5,8,192.168.1.3:49153,192.168.1.1:9,942,942,0,0,0.0517369,0.0154671
background,80211ac,nBackground,3,6,1,192.168.1.2:49153,192.168.1.1:9,910,910,0,0,0.0522457,0.018067
background,80211ac,nBackground,3,6,3,192.168.1.4:49153,192.168.1.1:9,828,828,0,0,0.0514854,0.0156135
background,80211ac,nBackground,3,6,4,192.168.1.3:49153,192.168.1.1:9,935,935,0,0,0.0477765,0.00943117
background,80211ac,nBackground,3,6,5,192.168.1.5:49153,192.168.1.1:9,867,867,0,0,0.0511429,0.0154328
background,80211ac,nBackground,3,6,8,192.168.1.6:49153,192.168.1.1:9,819,819,0,0,0.0490859,0.0120006
background,80211ac,nBackground,3,7,1,192.168.1.5:49153,192.168.1.1:9,860,860,0,0,0.0515526,0.0167199
background,80211ac,nBackground,3,7,2,192.168.1.6:49153,192.168.1.1:9,874,874,0,0,0.0543514,0.0144802
background,80211ac,nBackground,3,7,4,192.168.1.2:49153,192.168.1.1:9,965,965,0,0,0.0510029,0.0155367
background,80211ac,nBackground,3,7,5,192.168.1.4:49153,192.168.1.1:9,887,887,0,0,0.0507071,0.0130076
background,80211ac,nBackground,3,7,7,192.168.1.3:49153,192.168.1.1:9,795,795,0,0,0.0505274,0.0143775
background,80211ac,nBackground,3,8,1,192.168.1.5:49153,192.168.1.1:9,840,840,0,0,0.0496295,0.0107005
background,80211ac,nBackground,3,8,2,192.168.1.2:49153,192.168.1.1:9,880,880,0,0,0.0466057,0.00694131
background,80211ac,nBackground,3,8,3,192.168.1.4:49153,192.168.1.1:9,845,845,0,0,0.0495982,0.0109718
background,80211ac,nBackground,3,8,5,192.168.1.3:49153,192.168.1.1:9,997,997,0,0,0.0519472,0.0165685
background,80211ac,nBackground,3,8,8,192.168.1.6:49153,192.168.1.1:9,822,822,0,0,0.0499165,0.0136437
background,80211ac,nBackground,3,9,1,192.168.1.3:49153,192.168.1.1:9,816,816,0,0,0.0510137,0.0135187
background,80211ac,nBackground,3,9,3,192.168.1.5:49153,192.168.1.1:9,924,924,0,0,0.0545778,0.0161443
background,80211ac,nBackground,3,9,4,192.168.1.2:49153,192.168.1.1:9,900,900,0,0,0.0487956,0.0114669
background,80211ac,nBackground,3,9,7,192.168.1.4:49153,192.168.1.1:9,795,795,0,0,0.0479616,0.00892051
background,80211ac,nBackground,3,9,8,192.168.1.6:49153,192.168.1.1:9,821,821,0,0,0.046014,0.00563222
background,80211ac,nBackground,3,10,1,192.168.1.2:49153,192.168.1.1:9,924,924,0,0,0.0539361,0.0189124
background,80211ac,nBackground,3,10,2,192.168.1.5:49153,192.168.1.1:9,933,933,0,0,0.0513562,0.0163066
background,80211ac,nBackground,3,10,3,192.168.1.3:49153,192.168.1.1:9,924,924,0,0,0.0511021,0.0160525
background,80211ac,nBackground,3,10,5,192.168.1.6:49153,192.168.1.1:9,867,867,0,0,0.0489243,0.0119553
background,80211ac,nBackground,3,10,6,192.168.1.4:49153,192.168.1.1:9,700,700,0,0,0.055559,0.014663
background,80211ac,nBackground,5,1,1,192.168.1.6:49153,192.168.1.1:9,881,881,0,0,0.05018,0.0122821
background,80211ac,nBackground,5,1,2,192.168.1.4:49153,192.168.1.1:9,858,858,0,0,0.0540532,0.0219064
background,80211ac,nBackground,5,1,8,192.168.1.5:49153,192.168.1.1:9,931,931,0,0,0.0512095,0.0138195
background,80211ac,nBackground,5,1,9,192.168.1.3:49153,192.168.1.1:9,665,665,0,0,0.0524494,0.0151464
background,80211ac,nBackground,5,1,10,192.168.1.2:49153,192.168.1.1:9,806,806,0,0,0.0511264,0.0159957
background,80211ac,nBackground,5,2,1,192.168.1.6:49153,192.168.1.1:9,903,903,0,0,0.0622046,0.0296087
background,80211ac,nBackground,5,2,2,192.168.1.3:49153,192.168.1.1:9,881,881,0,0,0.0510714,0.0156372
background,80211ac,nBackground,5,2,3,192.168.1.5:49153,192.168.1.1:9,998,998,0,0,0.0530662,0.0189538
background,80211ac,nBackground,5,2,4,192.168.1.4:49153,192.168.1.1:9,832,832,0,0,0.0502018,0.00955124
background,80211ac,nBackground,5,2,8,192.168.1.2:49153,192.168.1.1:9,886,886,0,0,0.0566823,0.0246417
background,80211ac,nBackground,5,3,1,192.168.1.6:49153,192.168.1.1:9,837,837,0,0,0.0552852,0.0244544
background,80211ac,nBackground,5,3,2,192.168.1.4:49153,192.168.1.1:9,894,894,0,0,0.0541756,0.0197445
background,80211ac,nBackground,5,3,4,192.168.1.2:49153,192.168.1.1:9,930,930,0,0,0.0510107,0.0128904
background,80211ac,nBackground,5,3,6,192.168.1.3:49153,192.168.1.1:9,822,822,0,0,0.0570169,0.0251061
background,80211ac,nBackground,5,3,7,192.168.1.5:49153,192.168.1.1:9,682,682,0,0,0.0520092,0.0107646
background,80211ac,nBackground,5,4,1,192.168.1.5:49153,192.168.1.1:9,874,874,0,0,0.0495769,0.0127993
background,80211ac,nBackground,5,4,2,192.168.1.4:49153,192.168.1.1:9,932,932,0,0,0.0562079,0.0163041
background,80211ac,nBackground,5,4,3,192.168.1.3:49153,192.168.1.1:9,840,840,0,0,0.0540036,0.0206444
background,80211ac,nBackground,5,4,6,192.168.1.6:49153,192.168.1.1:9,902,902,0,0,0.052486,0.0154717
background,80211ac,nBackground,5,4,7,192.168.1.2:49153,192.168.1.1:9,870,870,0,0,0.0481692,0.00999993
background,80211ac,nBackground,5,5,1,192.168.1.5:49153,192.168.1.1:9,916,916,0,0,0.0624683,0.0218798
background,80211ac,nBackground,5,5,2,192.168.1.6:49153,192.168.1.1:9,821,821,0,0,0.0522233,0.0181747
background,80211ac,nBackground,5,5,4,192.168.1.2:49153,192.168.1.1:9,942,942,0,0,0.0557047,0.021363
background,80211ac,nBackground,5,5,5,192.168.1.3:49153,192.168.1.1:9,948,948,0,0,0.0550243,0.019986
background,80211ac,nBackground,5,5,6,192.168.1.4:49153,192.168.1.1:9,787,787,0,0,0.0518526,0.0152217
background,80211ac,nBackground,5,6,1,192.168.1.5:49153,192.168.1.1:9,899,899,0,0,0.0547829,0.0197449
background,80211ac,nBackground,5,6,2,192.168.1.6:49153,192.168.1.1:9,810,810,0,0,0.0682778,0.030729
background,80211ac,nBackground,5,6,3,192.168.1.4:49153,192.168.1.1:9,806,806,0,0,0.0522554,0.0165483
background,80211ac,nBackground,5,6,4,192.168.1.3:49153,192.168.1.1:9,728,728,0,0,0.0570327,0.0256653
background,80211ac,nBackground,5,6,5,192.168.1.2:49153,192.168.1.1:9,962,962,0,0,0.0547466,0.0204171
background,80211ac,nBackground,5,7,1,192.168.1.6:49153,192.168.1.1:9,1007,1007,0,0,0.0505424,0.0147568
background,80211ac,nBackground,5,7,2,192.168.1.3:49153,192.168.1.1:9,844,844,0,0,0.0516089,0.0163859
background,80211ac,nBackground,5,7,4,192.168.1.4:49153,192.168.1.1:9,814,814,0,0,0.0576972,0.025052
